Ranking;Name;Year;Minutes;Genre;Rating;Votes;Gross
1;Citizen Kane;1941;119;Drama, Mystery;8,3;442,77;$1,59M
2;The Godfather;1972;175;Crime, Drama;9,2;1,849,989;$134,97M
3;The Wizard of Oz;1939;102;Adventure, Family, Fantasy;8,1;400,88;$2,08M
4;The Shawshank Redemption;1994;142;Drama;9,3;2,669,409;$28,34M
5;Pulp Fiction;1994;154;Crime, Drama;8,9;2,044,257;$107,93M
6;Casablanca;1942;102;Drama, Romance, War;8,5;571,77;$1,02M
7;The Third Man;1949;104;Film-Noir, Mystery, Thriller;8,1;172,55;$0,45M
8;Star Wars: Episode V - The Empire Strikes Back;1980;124;Action, Adventure, Fantasy;8,7;1,288,916;$290,48M
9;Schindler's List;1993;195;Biography, Drama, History;9,0;1,351,515;$96,90M
10;Apocalypse Now;1979;147;Drama, Mystery, War;8,5;667,04;$83,47M
11;Goodfellas;1990;145;Biography, Crime, Drama;8,7;1,157,302;$46,84M
12;Singin' in the Rain;1952;103;Comedy, Musical, Romance;8,3;243,26;$8,82M
13;Psycho;1960;109;Horror, Mystery, Thriller;8,5;671,55;$32,00M
14;2001: A Space Odyssey;1968;149;Adventure, Sci-Fi;8,3;668,69;$56,95M
15;Fight Club;1999;139;Drama;8,8;2,114,891;$37,03M
16;Raging Bull;1980;129;Biography, Drama, Sport;8,2;355,04;$23,38M
17;Taxi Driver;1976;114;Crime, Drama;8,2;830,97;$28,26M
18;Seven Samurai;1954;207;Action, Drama;8,6;346,26;$0,27M
19;12 Angry Men;1957;96;Crime, Drama;9,0;788,43;$4,36M
20;Dr, Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;95;Comedy, War;8,4;491,52;$0,28M
21;Vertigo;1958;128;Mystery, Romance, Thriller;8,3;403,06;$3,20M
22;The Good, the Bad and the Ugly;1966;148;Adventure, Western;8,8;760,59;$6,10M
23;City Lights;1931;87;Comedy, Drama, Romance;8,5;185,36;$0,02M
24;Gone with the Wind;1939;238;Drama, Romance, War;8,2;316,45;$198,68M
25;On the Waterfront;1954;108;Crime, Drama, Thriller;8,1;156,02;$9,60M
26;The Godfather: Part II;1974;202;Crime, Drama;9,0;1,266,873;$57,30M
27;The Dark Knight;2008;152;Action, Crime, Drama;9,0;2,642,297;$534,86M
28;Blade Runner;1982;117;Action, Drama, Sci-Fi;8,1;769,37;$32,87M
29;Star Wars;1977;121;Action, Adventure, Fantasy;8,6;1,361,479;$322,74M
30;All About Eve;1950;138;Drama;8,2;132,08;$0,01M
31;Raiders of the Lost Ark;1981;115;Action, Adventure;8,4;964,50;$248,16M
32;Back to the Future;1985;116;Adventure, Comedy, Sci-Fi;8,5;1,201,245;$210,61M
33;Lawrence of Arabia;1962;218;Adventure, Biography, Drama;8,3;294,66;$44,82M
34;Jaws;1975;124;Adventure, Thriller;8,1;606,73;$260,00M
35;12 Years a Slave;2013;134;Biography, Drama, History;8,1;701,10;$56,67M
36;The Apartment;1960;125;Comedy, Drama, Romance;8,3;182,40;$18,60M
37;Chinatown;1974;130;Drama, Mystery, Thriller;8,2;327,65;$8,49M
38;Some Like It Hot;1959;121;Comedy, Music, Romance;8,2;268,15;$25,00M
39;The Great Dictator;1940;125;Comedy, Drama, War;8,4;224,61;$0,29M
40;The Lord of the Rings: The Fellowship of the Ring;2001;178;Action, Adventure, Drama;8,8;1,869,171;$315,54M
41;Alien;1979;117;Horror, Sci-Fi;8,5;881,12;$78,90M
42;Andrei Rublev;1966;205;Biography, Drama, History;8,1;54,11;$0,10M
43;Spotlight;2015;129;Biography, Crime, Drama;8,1;470,44;$45,06M
44;Once Upon a Time in the West;1968;165;Western;8,5;329,89;$5,32M
45;Moonlight;2016;111;Drama;7,4;309,11;$27,85M
46;Metropolis;1927;153;Drama, Sci-Fi;8,3;175,17;$1,24M
47;The Lord of the Rings: The Return of the King;2003;201;Action, Adventure, Drama;9,0;1,839,981;$377,85M
48;Modern Times;1936;87;Comedy, Drama, Romance;8,5;243,09;$0,16M
49;Aliens;1986;137;Action, Adventure, Sci-Fi;8,4;717,34;$85,16M
50;It Happened One Night;1934;107;Comedy, Romance;8,1;104,79;$4,36M
51;Laura;1944;88;Drama, Film-Noir, Mystery;7,9;48,02;$4,36M
52;Terminator 2: Judgment Day;1991;137;Action, Sci-Fi;8,6;1,096,602;$204,84M
53;A Clockwork Orange;1971;136;Crime, Sci-Fi;8,3;829,57;$6,21M
54;E,T, the Extra-Terrestrial;1982;115;Adventure, Family, Sci-Fi;7,9;410,77;$435,11M
55;Snow White and the Seven Dwarfs;1937;83;Animation, Adventure, Family;7,6;200,86;$184,93M
56;The Battle of Algiers;1966;121;Drama, War;8,1;60,79;$0,06M
57;La Grande Illusion;1937;113;Drama, War;8,1;37,05;$0,17M
58;North by Northwest;1959;136;Action, Adventure, Mystery;8,3;328,88;$13,28M
59;Butch Cassidy and the Sundance Kid;1969;110;Biography, Crime, Drama;8,0;216,97;$102,31M
60;The Maltese Falcon;1941;100;Crime, Film-Noir, Mystery;8,0;159,53;$2,11M
61;Gravity;2013;91;Drama, Sci-Fi, Thriller;7,7;826,30;$274,09M
62;King Kong;1933;100;Adventure, Horror, Sci-Fi;7,9;86,31;$10,00M
63;Toy Story;1995;81;Animation, Adventure, Comedy;8,3;991,95;$191,80M
64;Rear Window;1954;112;Mystery, Thriller;8,5;491,94;$36,76M
65;Rashomon;1950;88;Crime, Drama, Mystery;8,2;169,44;$0,10M
66;The Adventures of Robin Hood;1938;102;Action, Adventure, Romance;7,9;51,61;$3,98M
67;A Hard Day's Night;1964;87;Comedy, Musical;7,5;45,67;$13,78M
